BETROFFENE_ANLAGE;massnahmen;arbeit_mwh;pmax_mw;primaerenergie;kumuliert
BAG NWAK-Cluster 08 Neufinsing;2;1300,0;200,0;Erneuerbar;0,9975811716278763
50H_MNS_CR_LAU_Sued;7;1276,0;144,0;Erneuerbar;0,9976584246088859
50H_WEMA_CR_GOE;5;1237,0;150,0;Erneuerbar;0,9977333164094414
50H Leipzig Nord GuD;22;1207,0;57,0;Konventionell;0,9978063919173399
Heizkraftwerk Altbach/Deizisau GT B;8;1106,0;60,0;Konventionell;0,9978733525732933
Würzburg GT 2;4;1023,25;30,0;Konventionell;0,997935303288668
SHN Cluster Jardelund;6;1022,63;180,0;Erneuerbar;0,9979972164673278
AMP_WESTNETZ_EMSLAND_CR_WIND;4;1022,0;250,0;Erneuerbar;0,9980590915038416
Waldeck 6;5;1005,5;240,0;Sonstiges;0,9981199675793943
Reisach;6;949,5;99,0;Sonstiges;0,9981774532419871
AMP_WESTNETZ_NAHE_CR_WIND;8;949,0;231,0;Erneuerbar;0,9982349086330358
Heizkraftwerk Gaisburg Block 3;8;937,5;30,0;Konventionell;0,9982916677785659
CHEMIEPARK_MARL_KRAFTWERKE;17;909,0;55,0;Konventionell;0,998346701446072
UPM Schongau HKW3;8;829,0;65,0;Konventionell;0,9983968916664927
HUCKINGEN_A;5;772,0;100,0;Konventionell;0,9984436309308652
Braunschweig DT;12;759,38;24,0;Konventionell;0,9984896061414601
50H_MNS_CR_PUL;3;749,0;200,0;Erneuerbar;0,9985349529147957
50H Leipzig Süd GuD;20;726,0;30,0;Konventionell;0,9985789071970942
GERSTEINW_GTF1 (KapRes);1;712,0;150,0;Konventionell;0,9986220138761528
Würzburg GT 1;10;670,5;70,0;Konventionell;0,998662608017036
Netzreservekraftwerk Darmstadt/GTKW GT11;4;670,0;44,0;Konventionell;0,9987031718863748
Bremen GKB;1;642,5;200,0;Konventionell;0,9987420708207781
50H Halle-Dieselstr HKW-BlockC;15;625,0;47,0;Konventionell;0,9987799102511316
AMP_WESTNETZ_MUENSTERLAND_CR_WIND;3;624,0;191,0;Erneuerbar;0,9988176891383964
Kühtai 2 (Uniper);5;622,5;120,0;Sonstiges;0,9988553772110285
Erzhausen 4;9;609,25;57,0;Sonstiges;0,9988922630877369
Erzhausen 3;8;578,75;57,0;Sonstiges;0,9989273024002442
Emden 4 GT (KapRes);5;578,25;50,0;Konventionell;0,9989623114412072
Silz 1 (Uniper);4;570,0;200,0;Erneuerbar;0,9989968210016895
AMP_LEW_VERTEILNETZ_SUED_CR_PHOTOVOLTAIK;1;557,0;230,0;Erneuerbar;0,9990305435020205
50H EnviaTherm Bitterfeld GuD;4;526,0;50,0;Konventionell;0,999062389166606
50H_MNS_CR_ADB;1;525,0;200,0;Erneuerbar;0,9990941742881029
AMP_LEW_VERTEILNETZ_NORD_CR_PHOTOVOLTAIK;1;513,0;183,0;Erneuerbar;0,999125232892537
Burghausen;2;510,0;30,0;Konventionell;0,9991561098677053
AMP_WESTNETZ_PLAIDT_CR_WIND;4;507,0;200,0;Erneuerbar;0,999186805213608
BAG NWAK-Cluster 10 Oberbachern;1;500,0;200,0;Erneuerbar;0,9992170767578907
BASF-GESAMTEINSPEISG;4;500,0;100,0;Konventionell;0,9992473483021734
Kirchlengern GT 1;3;443,25;83,0;Konventionell;0,9992741840261801
Erzhausen 2;8;430,25;57,0;Sonstiges;0,9993002326900354
AMP_VSE_CR_WIND;5;414,0;222,0;Erneuerbar;0,9993252975287015
50H_EDIS_CR_SOW_Nord;1;412,0;150,0;Erneuerbar;0,9993502412811905
CROC Cluster Güstrow;1;412,0;150,0;Sonstiges;0,9993751850336795
AVA Cluster Vörden;4;411,8;86,15;Erneuerbar;0,9994001166775508
50H Stralsund BHKW+PtH;11;404,0;10,0;Konventionell;0,9994245760853312
HUCKINGEN_B;1;400,0;100,0;Konventionell;0,9994487933207574
EE Hessen;5;395,0;30,0;Erneuerbar;0,9994727078407408
50H_TEN_CR_S1_ATF;2;359,0;103,0;Erneuerbar;0,9994944428095358
50H_TEN_CR_M1_EI;2;334,0;59,0;Erneuerbar;0,9995146642011167
50H_TEN_CR_S2_WD;1;330,0;118,0;Erneuerbar;0,9995346434203433
Pumpspeicherwerk Säckingen RZ TNG;3;319,0;180,0;Sonstiges;0,9995539566655957
AMP_WESTNETZ_TRIER_CR_PHOTOVOLTAIK;2;316,0;100,0;Erneuerbar;0,9995730882815823
50H_EDIS_CR_HND;1;312,0;100,0;Erneuerbar;0,9995919777252148
AMP_WESTNETZ_SAUERLAND_CR_WIND;2;292,0;150,0;Erneuerbar;0,9996096563070759
50H_EDIS_CR_LHG;3;290,0;50,0;Erneuerbar;0,9996272138027599
AMP_WESTNETZ_EIFEL_CR_WIND;2;280,0;88,0;Erneuerbar;0,9996441658675582
Pumpspeicherwerk Glems;9;250,25;61,0;Sonstiges;0,9996593167754717
50H_WEMA_CR_PE;1;250,0;90,0;Erneuerbar;0,9996744525476131
50H OWP Baltic 1+2 Nord;1;250,0;80,0;Erneuerbar;0,9996895883197544
Zolling GT 1;5;244,0;23,0;Konventionell;0,9997043608333644
Heizkraftwerk Altbach/Deizisau GT A;2;240,0;50,0;Konventionell;0,9997188911746201
Erzhausen 1;6;220,25;55,0;Sonstiges;0,9997322257898767
Heizkraftwerk Stuttgart-Münster GT 16,17,18;2;210,0;40,0;Konventionell;0,9997449398384755
50H_EDIS_CR_PZS;2;201,0;109,0;Erneuerbar;0,999757108999277
AMP_WESTNETZ_NIEDERRHEIN_CR_WIND;3;201,0;59,0;Erneuerbar;0,9997692781600788
50H_EDIS_CR_BW;1;200,0;100,0;Erneuerbar;0,9997813867777918
50H_MNS_CR_ROE;1;198,0;70,0;Erneuerbar;0,9997933743093278
CROC Cluster Görries;1;187,0;70,0;Sonstiges;0,9998046958668896
AMP_VSE_CR_PHOTOVOLTAIK;2;185,0;93,0;Erneuerbar;0,9998158963382742
AMP_WESTNETZ_TRIER_CR_WIND;4;182,0;36,0;Erneuerbar;0,9998269151803931
AMP_WESTNETZ_SIERSDORF_CR_WIND;3;172,0;54,0;Erneuerbar;0,9998373285916263
50H_EDIS_CR_GUE_Sued;2;163,0;150,0;Erneuerbar;0,9998471971150625
Zolling GT 2;3;154,0;22,0;Konventionell;0,9998565207507016
AVA Cluster Gießen Nord T413 T414;3;151,67000000000002;17,18;Erneuerbar;0,9998657033209444
GERSTEINW_GTI1;1;148,0;40,0;Konventionell;0,999874663698052
KURATIV_VIANDEN_POOL;2;128,0;188,0;Sonstiges;0,9998824132133884
AMP_WESTNETZ_NIKE_CR_PHOTOVOLTAIK;1;127,0;42,0;Erneuerbar;0,9998901021856362
INFRA_HOE_GTX1;2;127,0;25,0;Konventionell;0,999897791157884
HKW_ROEMER_KW;1;117,0;39,0;Konventionell;0,9999048746992462
50H_EDIS_CR_VIE_Sued;1;110,0;90,0;Erneuerbar;0,9999115344389884
SHN Cluster Brunsbüttel;2;110,0;50,0;Erneuerbar;0,9999181941787306
Obernburg;6;105,0;8,0;Konventionell;0,9999245512030299
HEIZKRAFTWERK_SAARBRÜCKEN;1;92,0;23,0;Konventionell;0,999930121167178
AMP_WESTNETZ_HUERTH_CR_WIND;3;84,0;21,0;Erneuerbar;0,9999352067866175
AMP_WESTNETZ_NIKE_CR_SONSTIGE_EE;1;75,0;16,0;Sonstiges;0,9999397475182599
AVA Cluster Landesbergen;1;66,61;22,72;Erneuerbar;0,9999437802933893
AMP_LEW_VERTEILNETZ_SUED_CR_SONSTIGE_EE;1;64,0;43,0;Sonstiges;0,9999476550510574
Braunschweig HKWM DT42;2;63,769999999999996;9,0;Konventionell;0,9999515158838153
50H_EDIS_CR_GSE;2;63,0;38,0;Erneuerbar;0,9999553300983949
Reisach 2;1;47,25;27,0;Sonstiges;0,9999581907593296
Reisach 3;1;47,25;27,0;Sonstiges;0,9999610514202643
AMP_WESTNETZ_SIEGEN_CR_WIND;3;46,0;16,0;Erneuerbar;0,9999638364023383
GAMOR_ROEMER;1;40,0;10,0;Konventionell;0,9999662581258809
Niederrad 1;1;38,0;26,0;Konventionell;0,9999685587632464
AMP_LEW_VERTEILNETZ_NORD_CR_SONSTIGE_EE;1;36,0;12,0;Sonstiges;0,9999707383144347
Walchensee 4;2;33,5;17,0;Erneuerbar;0,9999727665079017
50H_EDIS_CR_PE;1;29,0;29,0;Erneuerbar;0,9999745222574701
AMP_WESTNETZ_TRIER_CR_SONSTIGE_EE;2;28,0;6,0;Sonstiges;0,9999762174639499
Walchensee 2;1;27,0;18,0;Erneuerbar;0,9999778521273411
Walchensee 3;1;27,0;18,0;Erneuerbar;0,9999794867907325
Walchensee 1;1;27,0;18,0;Erneuerbar;0,9999811214541238
SWDU_HKW_3B;1;22,0;37,0;Konventionell;0,9999824534020721
LAUSWARD_AGUD;2;22,0;7,0;Konventionell;0,9999837853500206
AMP_SYNA_PFUNG_CR_WIND;1;20,0;20,0;Erneuerbar;0,9999849962117919
EGM_DTS;1;20,0;12,0;Sonstiges;0,9999862070735632
BATTERIESPEICHER_NEURATH;1;20,0;20,0;Sonstiges;0,9999874179353345
OWP Borkum Riffgrund 3 Test;1;18,75;50,0;Erneuerbar;0,9999885531182451
AMP_WESTNETZ_KREFELDNEUSS_CR_WIND;3;17,0;5,0;Erneuerbar;0,9999895823507507
AMP_WESTNETZ_NIKE_CR_KONVENTIONELL;2;16,0;2,0;Sonstiges;0,9999905510401678
WP Neudersum;1;15,97;29,08;Erneuerbar;0,9999915179132922
Braunschweig BHKW;1;15,0;10,0;Konventionell;0,9999924260596207
AMP_WESTNETZ_BORNHEIM_CR_WIND;3;12,0;3,0;Erneuerbar;0,9999931525766835
50H OWP Baltic 1+2 Süd MIO;1;10,0;10,0;Erneuerbar;0,9999937580075692
AMP_VSE_CR_SONSTIGE_EE;3;9,0;1,0;Sonstiges;0,9999943028953663
AMP_WESTNETZ_NAHE_CR_PHOTOVOLTAIK;1;8,0;7,0;Erneuerbar;0,9999947872400747
OWP Veja Mate AC104 (kurativ);1;6,53;21,04;Erneuerbar;0,999995182586443
OWP Veja Mate AC105 (kurativ);1;6,49;20,87;Erneuerbar;0,9999955755110879
AMP_LEW_VERTEILNETZ_SUED_CR_KONVENTIONELL;1;6,0;2,0;Sonstiges;0,9999959387696192
TTG Cluster EE Bechterdissen T411;3;5,4399999999999995;5,5;Erneuerbar;0,999996268124021
50H BASF Schwarzheide;1;5,0;5,0;Konventionell;0,9999965708394638
50H Bad Salzungen HKW;1;5,0;5,0;Konventionell;0,9999968735549066
50H Bernburg;1;5,0;5,0;Konventionell;0,9999971762703495
50H Chemnitz;1;5,0;5,0;Konventionell;0,9999974789857923
50H Parchim;2;5,0;4,0;Konventionell;0,9999977817012351
AMP_LEW_VERTEILNETZ_NORD_CR_WIND;1;4,0;2,0;Erneuerbar;0,9999980238735894
