2024: 4392 Zeitscheiben gelesen
2025: 4380 Zeitscheiben gelesen
2026: 1452 Zeitscheiben gelesen

### 2024, Richtung pos
| Monat | Zeitscheiben | Leistungspreis Mittel | Median | Grenzpreis | angebotene Menge MW | Saldo MW |
| 10 | 5.0 | 10.9 | 16.8 | 10.8 | 30.5 | 13.2 |
| 11 | 2.7 | 10.9 | 18.1 | 16.9 | 41.9 | 8.8 |
| 12 | 3.9 | 8.2 | 18.5 | 13.9 | 37.2 | 9.6 |

### 2024, neg, Leistungspreis je Vier-Stunden-Produkt und Monat
| Monat | 00_04 | 04_08 | 08_12 | 12_16 | 16_20 | 20_24 |
|---|---|---|---|---|---|---|
| 1 | 12.2 | 9.6 | 4.4 | 5.5 | 2.3 | 3.9 |
| 2 | 9.7 | 7.4 | 3.4 | 5.9 | 1.9 | 2.6 |
| 3 | 4.2 | 3.6 | 5.7 | 13.2 | 2.8 | 1.9 |
| 4 | 6.2 | 5.4 | 11.2 | 26.2 | 9.0 | 3.0 |
| 5 | 4.1 | 4.2 | 22.4 | 37.3 | 13.0 | 2.2 |
| 6 | 6.4 | 7.7 | 28.4 | 52.2 | 22.0 | 2.5 |
| 7 | 3.7 | 5.0 | 22.5 | 42.3 | 16.7 | 1.4 |
| 8 | 2.7 | 3.8 | 25.6 | 51.8 | 16.4 | 1.2 |
| 9 | 7.9 | 5.3 | 19.5 | 49.1 | 12.7 | 2.4 |
| 10 | 10.2 | 7.2 | 11.1 | 24.3 | 5.1 | 2.9 |
| 11 | 7.2 | 5.4 | 5.0 | 8.0 | 1.3 | 2.3 |
| 12 | 14.4 | 11.2 | 2.6 | 2.9 | 1.2 | 4.0 |

### 2025, pos, Leistungspreis je Vier-Stunden-Produkt und Monat
| Monat | 00_04 | 04_08 | 08_12 | 12_16 | 16_20 | 20_24 |
|---|---|---|---|---|---|---|
| 1 | 2.7 | 11.5 | 17.2 | 9.6 | 27.6 | 6.9 |
| 2 | 2.4 | 9.9 | 17.2 | 16.8 | 27.9 | 6.9 |
| 3 | 3.7 | 8.5 | 12.1 | 14.5 | 25.2 | 8.8 |
| 4 | 4.0 | 12.6 | 24.5 | 13.4 | 19.8 | 18.7 |
| 5 | 6.0 | 13.1 | 31.2 | 25.0 | 21.3 | 27.3 |
| 6 | 5.7 | 10.7 | 30.9 | 18.1 | 18.1 | 33.7 |
| 7 | 4.3 | 8.0 | 19.7 | 13.2 | 14.8 | 26.2 |
| 8 | 4.4 | 8.5 | 19.7 | 10.4 | 17.5 | 25.9 |
| 9 | 4.4 | 13.1 | 73.0 | 32.0 | 56.7 | 26.0 |
| 10 | 5.2 | 17.5 | 58.6 | 30.7 | 57.9 | 17.2 |
| 11 | 3.5 | 9.4 | 26.4 | 19.4 | 34.4 | 7.8 |
| 12 | 2.2 | 8.8 | 15.0 | 11.1 | 21.8 | 4.5 |

### 2025, neg, Leistungspreis je Vier-Stunden-Produkt und Monat
| Monat | 00_04 | 04_08 | 08_12 | 12_16 | 16_20 | 20_24 |
|---|---|---|---|---|---|---|
| 1 | 11.0 | 8.4 | 2.4 | 3.3 | 1.1 | 2.9 |
| 2 | 4.5 | 3.5 | 1.9 | 6.2 | 0.6 | 1.2 |
| 3 | 3.4 | 3.0 | 18.8 | 38.1 | 2.7 | 1.4 |
| 4 | 3.3 | 2.9 | 27.8 | 68.8 | 13.9 | 1.3 |
| 5 | 4.0 | 4.1 | 51.1 | 97.8 | 34.2 | 1.9 |
| 6 | 2.8 | 3.4 | 42.0 | 80.1 | 34.4 | 1.2 |
| 7 | 1.3 | 1.9 | 25.1 | 49.9 | 15.8 | 0.8 |
| 8 | 2.0 | 2.3 | 28.0 | 62.3 | 17.8 | 1.4 |
| 9 | 8.9 | 6.5 | 42.5 | 70.3 | 33.2 | 2.9 |
| 10 | 9.5 | 9.1 | 26.0 | 40.5 | 9.5 | 4.3 |
| 11 | 7.4 | 5.9 | 12.0 | 11.8 | 1.7 | 2.2 |
| 12 | 7.3 | 5.5 | 2.9 | 2.4 | 0.6 | 1.8 |

### 2026, pos, Leistungspreis je Vier-Stunden-Produkt und Monat
| Monat | 00_04 | 04_08 | 08_12 | 12_16 | 16_20 | 20_24 |
|---|---|---|---|---|---|---|
