produkt,datum_excel,zeitscheibe,durchschnittspreis_de_eur_mw_h,hoechster_zuschlag_de_eur_mw_h
mFRR,45845.0,POS_16_20,7.65,8.0
mFRR,45845.0,POS_20_24,21.1,22.6
mFRR,45845.0,NEG_00_04,2.12,2.75
mFRR,45845.0,NEG_04_08,2.19,2.92
mFRR,45845.0,NEG_08_12,24.63,27.0
mFRR,45845.0,NEG_12_16,50.93,54.58
mFRR,45845.0,NEG_16_20,14.99,16.21
mFRR,45845.0,NEG_20_24,0.61,1.11
mFRR,45846.0,POS_00_04,1.71,2.04
mFRR,45846.0,POS_04_08,3.33,3.67
mFRR,45846.0,POS_08_12,2.76,3.64
mFRR,45846.0,POS_12_16,0.73,1.2
mFRR,45846.0,POS_16_20,6.51,7.5
mFRR,45846.0,POS_20_24,17.9,22.0
mFRR,45846.0,NEG_00_04,2.29,2.95
mFRR,45846.0,NEG_04_08,2.28,2.8
mFRR,45846.0,NEG_08_12,24.49,29.47
mFRR,45846.0,NEG_12_16,43.23,51.91
mFRR,45846.0,NEG_16_20,12.79,14.3
mFRR,45846.0,NEG_20_24,0.68,0.87
mFRR,45847.0,POS_00_04,1.58,1.82
mFRR,45847.0,POS_04_08,2.93,3.21
mFRR,45847.0,POS_08_12,2.08,2.38
mFRR,45847.0,POS_12_16,0.65,0.81
mFRR,45847.0,POS_16_20,9.48,35.99
mFRR,45847.0,POS_20_24,17.16,18.47
mFRR,45847.0,NEG_00_04,2.05,2.54
mFRR,45847.0,NEG_04_08,1.95,2.2
mFRR,45847.0,NEG_08_12,19.41,24.0
mFRR,45847.0,NEG_12_16,40.39,44.7
mFRR,45847.0,NEG_16_20,11.16,12.75
mFRR,45847.0,NEG_20_24,0.61,0.73
mFRR,45848.0,POS_00_04,1.35,1.58
mFRR,45848.0,POS_04_08,2.48,2.78
mFRR,45848.0,POS_08_12,1.67,1.88
mFRR,45848.0,POS_12_16,0.5,0.58
mFRR,45848.0,POS_16_20,8.79,14.58
mFRR,45848.0,POS_20_24,16.36,27.47
mFRR,45848.0,NEG_00_04,1.76,2.0
mFRR,45848.0,NEG_04_08,1.62,1.85
mFRR,45848.0,NEG_08_12,16.23,18.05
mFRR,45848.0,NEG_12_16,35.61,42.27
mFRR,45848.0,NEG_16_20,10.95,20.1
mFRR,45848.0,NEG_20_24,0.57,0.68
mFRR,45849.0,POS_00_04,1.23,1.38
mFRR,45849.0,POS_04_08,2.13,2.34
mFRR,45849.0,POS_08_12,1.34,1.5
mFRR,45849.0,POS_12_16,0.4,0.46
mFRR,45849.0,POS_16_20,8.24,9.53
mFRR,45849.0,POS_20_24,15.13,17.1
mFRR,45849.0,NEG_00_04,1.4,1.7
mFRR,45849.0,NEG_04_08,1.46,2.0
mFRR,45849.0,NEG_08_12,12.11,12.75
mFRR,45849.0,NEG_12_16,33.81,36.47
mFRR,45849.0,NEG_16_20,10.54,12.47
mFRR,45849.0,NEG_20_24,0.54,0.61
mFRR,45850.0,POS_00_04,1.07,1.21
mFRR,45850.0,POS_04_08,1.77,2.0
mFRR,45850.0,POS_08_12,1.01,1.12
mFRR,45850.0,POS_12_16,0.3,0.34
mFRR,45850.0,POS_16_20,6.43,7.11
mFRR,45850.0,POS_20_24,13.06,14.9
mFRR,45850.0,NEG_00_04,1.43,1.74
mFRR,45850.0,NEG_04_08,2.23,3.25
mFRR,45850.0,NEG_08_12,19.06,35.01
mFRR,45850.0,NEG_12_16,45.66,64.37
mFRR,45850.0,NEG_16_20,13.06,16.48
mFRR,45850.0,NEG_20_24,0.53,0.64
mFRR,45851.0,POS_00_04,0.93,1.01
mFRR,45851.0,POS_04_08,1.53,1.75
mFRR,45851.0,POS_08_12,0.78,0.89
mFRR,45851.0,POS_12_16,0.24,0.28
mFRR,45851.0,POS_16_20,4.97,5.44
mFRR,45851.0,POS_20_24,11.17,12.0
mFRR,45851.0,NEG_00_04,1.37,1.7
mFRR,45851.0,NEG_04_08,2.23,2.79
mFRR,45851.0,NEG_08_12,29.99,42.06
mFRR,45851.0,NEG_12_16,58.04,75.99
mFRR,45851.0,NEG_16_20,14.48,20.76
mFRR,45851.0,NEG_20_24,0.49,0.61
mFRR,45852.0,POS_00_04,1.08,1.49
mFRR,45852.0,POS_04_08,2.48,3.74
mFRR,45852.0,POS_08_12,1.83,2.59
mFRR,45852.0,POS_12_16,0.52,0.75
mFRR,45852.0,POS_16_20,7.17,8.23
mFRR,45852.0,POS_20_24,17.55,29.0
mFRR,45852.0,NEG_00_04,1.18,1.3
mFRR,45852.0,NEG_04_08,1.33,1.7
mFRR,45852.0,NEG_08_12,20.07,27.49
mFRR,45852.0,NEG_12_16,40.0,47.26
mFRR,45852.0,NEG_16_20,11.22,13.58
mFRR,45852.0,NEG_20_24,0.43,0.54
mFRR,45853.0,POS_00_04,1.06,1.41
mFRR,45853.0,POS_04_08,2.02,2.95
mFRR,45853.0,POS_08_12,1.49,2.01
mFRR,45853.0,POS_12_16,0.38,0.47
mFRR,45853.0,POS_16_20,5.86,6.57
mFRR,45853.0,POS_20_24,16.81,21.34
mFRR,45853.0,NEG_00_04,0.9,1.09
mFRR,45853.0,NEG_04_08,1.14,1.3
mFRR,45853.0,NEG_08_12,17.44,19.0
mFRR,45853.0,NEG_12_16,44.4,59.36
mFRR,45853.0,NEG_16_20,9.53,10.65
mFRR,45853.0,NEG_20_24,0.45,0.61
mFRR,45854.0,POS_00_04,0.98,1.15
mFRR,45854.0,POS_04_08,1.7,2.06
mFRR,45854.0,POS_08_12,1.28,1.54
mFRR,45854.0,POS_12_16,0.36,0.44
mFRR,45854.0,POS_16_20,4.79,5.36
mFRR,45854.0,POS_20_24,14.22,15.66
mFRR,45854.0,NEG_00_04,0.76,0.82
mFRR,45854.0,NEG_04_08,0.86,0.97
mFRR,45854.0,NEG_08_12,11.98,13.12
mFRR,45854.0,NEG_12_16,33.84,37.08
mFRR,45854.0,NEG_16_20,6.96,7.42
mFRR,45854.0,NEG_20_24,0.43,0.49
mFRR,45855.0,POS_00_04,0.86,1.05
mFRR,45855.0,POS_04_08,1.49,2.2
mFRR,45855.0,POS_08_12,1.06,1.3
mFRR,45855.0,POS_12_16,0.3,0.4
mFRR,45855.0,POS_16_20,4.02,4.66
mFRR,45855.0,POS_20_24,12.19,18.0
mFRR,45855.0,NEG_00_04,0.62,0.73
mFRR,45855.0,NEG_04_08,0.73,1.56
mFRR,45855.0,NEG_08_12,9.14,10.0
mFRR,45855.0,NEG_12_16,34.27,47.28
mFRR,45855.0,NEG_16_20,5.69,6.9
mFRR,45855.0,NEG_20_24,0.42,0.48
mFRR,45856.0,POS_00_04,0.79,0.9
mFRR,45856.0,POS_04_08,1.6,1.92
mFRR,45856.0,POS_08_12,1.02,1.29
mFRR,45856.0,POS_12_16,0.29,0.43
mFRR,45856.0,POS_16_20,4.1,4.82
mFRR,45856.0,POS_20_24,14.0,16.25
mFRR,45856.0,NEG_00_04,0.54,0.57
mFRR,45856.0,NEG_04_08,0.88,1.07
mFRR,45856.0,NEG_08_12,6.53,7.3
mFRR,45856.0,NEG_12_16,24.76,28.0
mFRR,45856.0,NEG_16_20,4.8,7.6
mFRR,45856.0,NEG_20_24,0.43,1.0
mFRR,45857.0,POS_00_04,0.8,1.0
mFRR,45857.0,POS_04_08,1.52,1.83
mFRR,45857.0,POS_08_12,0.85,0.93
mFRR,45857.0,POS_12_16,0.25,0.29
mFRR,45857.0,POS_16_20,3.37,3.8
mFRR,45857.0,POS_20_24,11.63,12.89
mFRR,45857.0,NEG_00_04,0.5,0.56
mFRR,45857.0,NEG_04_08,1.05,1.21
mFRR,45857.0,NEG_08_12,20.12,34.1
mFRR,45857.0,NEG_12_16,45.65,61.12
mFRR,45857.0,NEG_16_20,10.62,15.38
mFRR,45857.0,NEG_20_24,0.77,1.0
mFRR,45858.0,POS_00_04,0.65,0.74
mFRR,45858.0,POS_04_08,1.27,1.43
mFRR,45858.0,POS_08_12,0.64,0.72
mFRR,45858.0,POS_12_16,0.19,0.22
mFRR,45858.0,POS_16_20,2.92,3.29
mFRR,45858.0,POS_20_24,9.76,10.45
mFRR,45858.0,NEG_00_04,0.79,1.34
mFRR,45858.0,NEG_04_08,2.0,3.57
mFRR,45858.0,NEG_08_12,34.36,41.26
mFRR,45858.0,NEG_12_16,60.41,79.15
mFRR,45858.0,NEG_16_20,12.92,15.79
mFRR,45858.0,NEG_20_24,0.71,0.8
mFRR,45859.0,POS_00_04,0.61,0.92
mFRR,45859.0,POS_04_08,1.56,1.72
mFRR,45859.0,POS_08_12,0.92,1.09
mFRR,45859.0,POS_12_16,0.35,0.5
mFRR,45859.0,POS_16_20,3.44,4.11
mFRR,45859.0,POS_20_24,13.94,19.0
mFRR,45859.0,NEG_00_04,0.57,0.78
mFRR,45859.0,NEG_04_08,1.3,1.6
mFRR,45859.0,NEG_08_12,10.4,12.33
mFRR,45859.0,NEG_12_16,25.12,27.12
mFRR,45859.0,NEG_16_20,6.2,7.72
mFRR,45859.0,NEG_20_24,0.69,1.0
mFRR,45860.0,POS_00_04,0.64,1.08
mFRR,45860.0,POS_04_08,1.13,1.34
mFRR,45860.0,POS_08_12,1.05,1.4
mFRR,45860.0,POS_12_16,0.41,0.49
mFRR,45860.0,POS_16_20,2.7,3.35
mFRR,45860.0,POS_20_24,12.3,14.25
mFRR,45860.0,NEG_00_04,0.72,2.05
mFRR,45860.0,NEG_04_08,1.4,2.46
mFRR,45860.0,NEG_08_12,11.84,17.0
mFRR,45860.0,NEG_12_16,45.21,70.75
mFRR,45860.0,NEG_16_20,10.1,16.5
mFRR,45860.0,NEG_20_24,1.02,2.05
mFRR,45861.0,POS_00_04,0.66,0.8
mFRR,45861.0,POS_04_08,0.92,1.19
mFRR,45861.0,POS_08_12,0.93,1.1
mFRR,45861.0,POS_12_16,0.32,0.38
mFRR,45861.0,POS_16_20,2.56,3.42
mFRR,45861.0,POS_20_24,10.05,13.13
mFRR,45861.0,NEG_00_04,2.0,3.8
mFRR,45861.0,NEG_04_08,2.65,5.14
mFRR,45861.0,NEG_08_12,13.54,20.56
mFRR,45861.0,NEG_12_16,54.2,78.48
mFRR,45861.0,NEG_16_20,12.15,16.35
mFRR,45861.0,NEG_20_24,1.01,1.2
mFRR,45862.0,POS_00_04,0.55,0.68
mFRR,45862.0,POS_04_08,0.93,1.12
mFRR,45862.0,POS_08_12,0.78,1.0
mFRR,45862.0,POS_12_16,0.24,0.37
mFRR,45862.0,POS_16_20,2.44,3.28
mFRR,45862.0,POS_20_24,10.44,14.72
mFRR,45862.0,NEG_00_04,1.28,1.62
mFRR,45862.0,NEG_04_08,1.73,2.12
mFRR,45862.0,NEG_08_12,10.05,10.77
mFRR,45862.0,NEG_12_16,26.6,31.95
mFRR,45862.0,NEG_16_20,6.88,7.75
mFRR,45862.0,NEG_20_24,0.78,0.92
mFRR,45863.0,POS_00_04,0.48,0.56
mFRR,45863.0,POS_04_08,0.65,0.82
mFRR,45863.0,POS_08_12,0.65,0.85
mFRR,45863.0,POS_12_16,0.23,0.28
mFRR,45863.0,POS_16_20,2.04,2.57
mFRR,45863.0,POS_20_24,8.34,9.73
mFRR,45863.0,NEG_00_04,0.9,1.1
mFRR,45863.0,NEG_04_08,1.26,1.45
mFRR,45863.0,NEG_08_12,6.57,7.1
mFRR,45863.0,NEG_12_16,19.45,21.55
mFRR,45863.0,NEG_16_20,4.99,5.49
mFRR,45863.0,NEG_20_24,0.59,0.7
mFRR,45864.0,POS_00_04,0.46,0.68
mFRR,45864.0,POS_04_08,0.58,0.67
mFRR,45864.0,POS_08_12,0.55,0.7
mFRR,45864.0,POS_12_16,0.18,0.23
mFRR,45864.0,POS_16_20,1.78,2.08
mFRR,45864.0,POS_20_24,7.15,8.9
mFRR,45864.0,NEG_00_04,0.82,0.92
mFRR,45864.0,NEG_04_08,1.16,1.3
mFRR,45864.0,NEG_08_12,8.67,15.4
mFRR,45864.0,NEG_12_16,25.97,41.0
mFRR,45864.0,NEG_16_20,5.31,5.94
mFRR,45864.0,NEG_20_24,0.54,0.66
mFRR,45865.0,POS_00_04,0.42,0.51
mFRR,45865.0,POS_04_08,0.46,0.6
mFRR,45865.0,POS_08_12,0.4,0.5
mFRR,45865.0,POS_12_16,0.14,0.18
mFRR,45865.0,POS_16_20,1.34,1.66
mFRR,45865.0,POS_20_24,5.96,8.2
mFRR,45865.0,NEG_00_04,0.78,0.91
mFRR,45865.0,NEG_04_08,1.28,1.7
mFRR,45865.0,NEG_08_12,13.35,19.17
mFRR,45865.0,NEG_12_16,41.9,57.5
mFRR,45865.0,NEG_16_20,6.67,12.31
mFRR,45865.0,NEG_20_24,0.54,0.67
mFRR,45866.0,POS_00_04,0.51,1.0
mFRR,45866.0,POS_04_08,0.6,1.19
mFRR,45866.0,POS_08_12,0.65,1.42
mFRR,45866.0,POS_12_16,0.24,0.49
mFRR,45866.0,POS_16_20,1.64,2.73
mFRR,45866.0,POS_20_24,7.69,9.8
mFRR,45866.0,NEG_00_04,0.94,2.85
mFRR,45866.0,NEG_04_08,1.16,2.0
mFRR,45866.0,NEG_08_12,7.92,8.48
mFRR,45866.0,NEG_12_16,23.28,26.25
mFRR,45866.0,NEG_16_20,5.25,5.94
mFRR,45866.0,NEG_20_24,0.59,1.5
mFRR,45867.0,POS_00_04,0.6,0.75
mFRR,45867.0,POS_04_08,0.76,0.9
mFRR,45867.0,POS_08_12,0.9,1.35
mFRR,45867.0,POS_12_16,0.28,0.37
mFRR,45867.0,POS_16_20,1.99,2.4
mFRR,45867.0,POS_20_24,7.39,9.02
mFRR,45867.0,NEG_00_04,1.52,2.5
mFRR,45867.0,NEG_04_08,1.38,2.0
mFRR,45867.0,NEG_08_12,8.86,17.0
mFRR,45867.0,NEG_12_16,37.48,53.6
mFRR,45867.0,NEG_16_20,5.62,11.5
mFRR,45867.0,NEG_20_24,0.91,2.0
mFRR,45868.0,POS_00_04,0.51,0.6
mFRR,45868.0,POS_04_08,0.62,0.79
mFRR,45868.0,POS_08_12,0.88,1.13
mFRR,45868.0,POS_12_16,0.22,0.25
mFRR,45868.0,POS_16_20,1.74,2.48
mFRR,45868.0,POS_20_24,6.45,7.69
mFRR,45868.0,NEG_00_04,1.4,2.0
mFRR,45868.0,NEG_04_08,1.38,1.9
mFRR,45868.0,NEG_08_12,8.55,11.14
mFRR,45868.0,NEG_12_16,32.91,48.14
mFRR,45868.0,NEG_16_20,5.61,6.97
mFRR,45868.0,NEG_20_24,1.1,2.0
mFRR,45869.0,POS_00_04,0.44,0.48
mFRR,45869.0,POS_04_08,0.59,0.68
mFRR,45869.0,POS_08_12,0.73,0.82
mFRR,45869.0,POS_12_16,0.18,0.21
mFRR,45869.0,POS_16_20,1.8,2.17
mFRR,45869.0,POS_20_24,5.86,6.38
mFRR,45869.0,NEG_00_04,1.44,1.9
mFRR,45869.0,NEG_04_08,1.48,2.0
mFRR,45869.0,NEG_08_12,7.9,10.0
mFRR,45869.0,NEG_12_16,33.85,47.52
mFRR,45869.0,NEG_16_20,4.96,7.0
mFRR,45869.0,NEG_20_24,1.13,1.25
mFRR,45870.0,POS_00_04,0.38,0.55
mFRR,45870.0,POS_04_08,0.54,0.77
mFRR,45870.0,POS_08_12,0.66,0.98
mFRR,45870.0,POS_12_16,0.15,0.19
mFRR,45870.0,POS_16_20,1.63,2.18
mFRR,45870.0,POS_20_24,5.21,6.38
mFRR,45870.0,NEG_00_04,1.19,1.5
mFRR,45870.0,NEG_04_08,1.23,1.54
mFRR,45870.0,NEG_08_12,6.68,7.1
mFRR,45870.0,NEG_12_16,28.49,32.0
mFRR,45870.0,NEG_16_20,4.86,5.63
mFRR,45870.0,NEG_20_24,0.92,1.29
mFRR,45871.0,POS_00_04,0.53,0.69
mFRR,45871.0,POS_04_08,0.55,0.68
mFRR,45871.0,POS_08_12,0.64,0.8
mFRR,45871.0,POS_12_16,0.13,0.22
mFRR,45871.0,POS_16_20,1.58,1.99
mFRR,45871.0,POS_20_24,5.21,6.48
mFRR,45871.0,NEG_00_04,1.15,1.47
mFRR,45871.0,NEG_04_08,1.44,2.5
mFRR,45871.0,NEG_08_12,11.24,13.93
mFRR,45871.0,NEG_12_16,40.93,49.8
mFRR,45871.0,NEG_16_20,9.73,13.64
mFRR,45871.0,NEG_20_24,0.95,1.1
mFRR,45872.0,POS_00_04,0.41,0.52
mFRR,45872.0,POS_04_08,0.41,0.49
mFRR,45872.0,POS_08_12,0.49,0.59
mFRR,45872.0,POS_12_16,0.12,0.15
mFRR,45872.0,POS_16_20,1.26,1.69
mFRR,45872.0,POS_20_24,4.03,4.99
mFRR,45872.0,NEG_00_04,2.48,4.8
mFRR,45872.0,NEG_04_08,3.8,4.97
mFRR,45872.0,NEG_08_12,23.44,36.58
mFRR,45872.0,NEG_12_16,50.49,69.62
mFRR,45872.0,NEG_16_20,15.15,17.62
mFRR,45872.0,NEG_20_24,0.87,1.03
mFRR,45873.0,POS_00_04,0.49,0.76
mFRR,45873.0,POS_04_08,0.66,0.85
mFRR,45873.0,POS_08_12,1.26,1.96
mFRR,45873.0,POS_12_16,0.31,0.44
mFRR,45873.0,POS_16_20,1.82,2.29
mFRR,45873.0,POS_20_24,4.79,5.55
mFRR,45873.0,NEG_00_04,2.58,5.0
mFRR,45873.0,NEG_04_08,2.33,3.64
mFRR,45873.0,NEG_08_12,11.26,14.54
mFRR,45873.0,NEG_12_16,33.7,39.0
mFRR,45873.0,NEG_16_20,7.8,9.0
mFRR,45873.0,NEG_20_24,1.47,2.65
mFRR,45874.0,POS_00_04,0.6,0.8
mFRR,45874.0,POS_04_08,0.8,0.99
mFRR,45874.0,POS_08_12,0.89,1.02
mFRR,45874.0,POS_12_16,0.24,0.3
mFRR,45874.0,POS_16_20,1.59,1.8
mFRR,45874.0,POS_20_24,4.4,4.93
mFRR,45874.0,NEG_00_04,3.99,5.66
mFRR,45874.0,NEG_04_08,2.73,4.35
mFRR,45874.0,NEG_08_12,11.8,13.4
mFRR,45874.0,NEG_12_16,42.29,50.0
mFRR,45874.0,NEG_16_20,13.06,24.2
mFRR,45874.0,NEG_20_24,1.57,2.3
mFRR,45875.0,POS_00_04,0.55,0.69
mFRR,45875.0,POS_04_08,0.77,0.9
mFRR,45875.0,POS_08_12,0.92,1.53
mFRR,45875.0,POS_12_16,0.29,0.5
mFRR,45875.0,POS_16_20,1.95,3.02
mFRR,45875.0,POS_20_24,6.88,9.47
mFRR,45875.0,NEG_00_04,3.67,4.66
mFRR,45875.0,NEG_04_08,5.91,9.8
mFRR,45875.0,NEG_08_12,25.64,47.57
mFRR,45875.0,NEG_12_16,63.87,94.0
mFRR,45875.0,NEG_16_20,20.08,26.7
mFRR,45875.0,NEG_20_24,0.91,1.25
mFRR,45876.0,POS_00_04,0.5,0.64
mFRR,45876.0,POS_04_08,0.68,0.84
mFRR,45876.0,POS_08_12,0.86,0.99
mFRR,45876.0,POS_12_16,0.25,0.31
mFRR,45876.0,POS_16_20,2.11,2.49
mFRR,45876.0,POS_20_24,6.08,7.73
mFRR,45876.0,NEG_00_04,2.0,2.34
mFRR,45876.0,NEG_04_08,3.22,5.75
mFRR,45876.0,NEG_08_12,18.41,23.7
mFRR,45876.0,NEG_12_16,54.0,66.18
mFRR,45876.0,NEG_16_20,14.55,18.7
mFRR,45876.0,NEG_20_24,0.75,0.98
mFRR,45877.0,POS_00_04,0.45,0.57
mFRR,45877.0,POS_04_08,0.6,0.79
mFRR,45877.0,POS_08_12,0.68,0.89
mFRR,45877.0,POS_12_16,0.2,0.25
mFRR,45877.0,POS_16_20,1.75,2.28
mFRR,45877.0,POS_20_24,5.6,6.88
mFRR,45877.0,NEG_00_04,1.34,1.46
mFRR,45877.0,NEG_04_08,2.29,2.55
mFRR,45877.0,NEG_08_12,16.14,21.6
mFRR,45877.0,NEG_12_16,49.4,66.2
mFRR,45877.0,NEG_16_20,12.41,19.32
mFRR,45877.0,NEG_20_24,0.65,0.72
mFRR,45878.0,POS_00_04,0.53,0.67
mFRR,45878.0,POS_04_08,0.52,0.63
mFRR,45878.0,POS_08_12,0.6,0.8
mFRR,45878.0,POS_12_16,0.14,0.18
mFRR,45878.0,POS_16_20,1.46,1.75
mFRR,45878.0,POS_20_24,4.3,4.9
mFRR,45878.0,NEG_00_04,0.89,1.02
mFRR,45878.0,NEG_04_08,1.6,2.0
mFRR,45878.0,NEG_08_12,27.38,42.45
mFRR,45878.0,NEG_12_16,67.69,83.85
mFRR,45878.0,NEG_16_20,21.18,31.51
mFRR,45878.0,NEG_20_24,0.73,1.0
mFRR,45879.0,POS_00_04,0.4,0.48
mFRR,45879.0,POS_04_08,0.41,0.48
mFRR,45879.0,POS_08_12,0.47,0.56
mFRR,45879.0,POS_12_16,0.11,0.13
mFRR,45879.0,POS_16_20,1.16,1.4
mFRR,45879.0,POS_20_24,3.39,15.0
mFRR,45879.0,NEG_00_04,1.78,3.36
mFRR,45879.0,NEG_04_08,3.34,4.98
mFRR,45879.0,NEG_08_12,48.62,66.29
mFRR,45879.0,NEG_12_16,84.03,114.0
mFRR,45879.0,NEG_16_20,31.03,43.4
mFRR,45879.0,NEG_20_24,1.12,2.42
mFRR,45880.0,POS_00_04,0.48,0.68
mFRR,45880.0,POS_04_08,0.65,1.0
mFRR,45880.0,POS_08_12,0.88,1.4
mFRR,45880.0,POS_12_16,0.2,0.33
mFRR,45880.0,POS_16_20,1.87,2.38
mFRR,45880.0,POS_20_24,6.99,14.1
mFRR,45880.0,NEG_00_04,1.61,2.23
mFRR,45880.0,NEG_04_08,2.07,2.4
mFRR,45880.0,NEG_08_12,24.44,29.8
mFRR,45880.0,NEG_12_16,61.91,82.53
mFRR,45880.0,NEG_16_20,12.95,16.93
mFRR,45880.0,NEG_20_24,1.38,2.09
mFRR,45881.0,POS_00_04,0.5,0.65
mFRR,45881.0,POS_04_08,0.81,1.1
mFRR,45881.0,POS_08_12,1.26,1.75
mFRR,45881.0,POS_12_16,0.3,0.4
mFRR,45881.0,POS_16_20,1.9,2.4
mFRR,45881.0,POS_20_24,8.72,18.0
mFRR,45881.0,NEG_00_04,1.26,2.0
mFRR,45881.0,NEG_04_08,1.28,1.51
mFRR,45881.0,NEG_08_12,25.23,36.4
mFRR,45881.0,NEG_12_16,66.99,88.04
mFRR,45881.0,NEG_16_20,15.39,21.47
mFRR,45881.0,NEG_20_24,1.3,1.53
mFRR,45882.0,POS_00_04,0.47,0.58
mFRR,45882.0,POS_04_08,0.67,0.87
mFRR,45882.0,POS_08_12,0.96,1.13
mFRR,45882.0,POS_12_16,0.26,0.33
mFRR,45882.0,POS_16_20,2.53,5.21
mFRR,45882.0,POS_20_24,14.48,23.0
mFRR,45882.0,NEG_00_04,1.25,1.4
mFRR,45882.0,NEG_04_08,1.34,2.51
mFRR,45882.0,NEG_08_12,23.01,28.78
mFRR,45882.0,NEG_12_16,58.27,72.81
mFRR,45882.0,NEG_16_20,13.99,17.32
mFRR,45882.0,NEG_20_24,1.02,1.26
mFRR,45883.0,POS_00_04,0.43,0.47
mFRR,45883.0,POS_04_08,0.66,0.85
mFRR,45883.0,POS_08_12,0.84,0.93
mFRR,45883.0,POS_12_16,0.28,1.0
mFRR,45883.0,POS_16_20,3.86,9.75
mFRR,45883.0,POS_20_24,17.99,22.75
mFRR,45883.0,NEG_00_04,1.03,1.34
mFRR,45883.0,NEG_04_08,1.38,1.8
mFRR,45883.0,NEG_08_12,20.02,21.88
mFRR,45883.0,NEG_12_16,53.72,58.69
mFRR,45883.0,NEG_16_20,10.52,12.62
mFRR,45883.0,NEG_20_24,0.91,1.03
mFRR,45884.0,POS_00_04,0.38,0.54
mFRR,45884.0,POS_04_08,0.63,0.8
mFRR,45884.0,POS_08_12,0.71,0.93
mFRR,45884.0,POS_12_16,0.29,0.6
mFRR,45884.0,POS_16_20,3.42,4.48
mFRR,45884.0,POS_20_24,12.61,14.5
mFRR,45884.0,NEG_00_04,1.17,2.2
mFRR,45884.0,NEG_04_08,1.26,2.0
mFRR,45884.0,NEG_08_12,22.51,28.89
mFRR,45884.0,NEG_12_16,69.47,87.97
mFRR,45884.0,NEG_16_20,13.79,20.47
mFRR,45884.0,NEG_20_24,0.88,1.34
mFRR,45885.0,POS_00_04,0.43,0.5
mFRR,45885.0,POS_04_08,0.5,0.6
mFRR,45885.0,POS_08_12,0.57,0.69
mFRR,45885.0,POS_12_16,0.29,0.39
mFRR,45885.0,POS_16_20,2.3,2.53
mFRR,45885.0,POS_20_24,8.87,10.27
mFRR,45885.0,NEG_00_04,2.09,3.68
mFRR,45885.0,NEG_04_08,2.42,4.0
mFRR,45885.0,NEG_08_12,32.04,35.36
mFRR,45885.0,NEG_12_16,75.46,97.56
mFRR,45885.0,NEG_16_20,25.01,36.4
mFRR,45885.0,NEG_20_24,1.96,4.27
mFRR,45886.0,POS_00_04,0.35,0.5
mFRR,45886.0,POS_04_08,0.47,1.12
mFRR,45886.0,POS_08_12,0.47,0.8
mFRR,45886.0,POS_12_16,0.22,0.27
mFRR,45886.0,POS_16_20,1.74,2.04
mFRR,45886.0,POS_20_24,9.73,20.47
mFRR,45886.0,NEG_00_04,2.69,4.09
mFRR,45886.0,NEG_04_08,3.3,4.98
mFRR,45886.0,NEG_08_12,43.02,53.5
mFRR,45886.0,NEG_12_16,85.48,93.85
mFRR,45886.0,NEG_16_20,25.78,31.0
mFRR,45886.0,NEG_20_24,2.41,3.35
mFRR,45887.0,POS_00_04,0.45,0.78
mFRR,45887.0,POS_04_08,1.84,6.44
mFRR,45887.0,POS_08_12,1.64,2.4
mFRR,45887.0,POS_12_16,0.66,1.79
mFRR,45887.0,POS_16_20,7.23,24.0
mFRR,45887.0,POS_20_24,33.66,54.0
mFRR,45887.0,NEG_00_04,1.92,2.47
mFRR,45887.0,NEG_04_08,2.02,2.5
mFRR,45887.0,NEG_08_12,24.28,26.8
mFRR,45887.0,NEG_12_16,59.31,66.94
mFRR,45887.0,NEG_16_20,13.78,16.0
mFRR,45887.0,NEG_20_24,1.25,1.5
mFRR,45888.0,POS_00_04,0.78,2.27
mFRR,45888.0,POS_04_08,3.43,6.98
mFRR,45888.0,POS_08_12,1.42,1.83
mFRR,45888.0,POS_12_16,0.55,0.95
mFRR,45888.0,POS_16_20,14.5,21.0
mFRR,45888.0,POS_20_24,29.0,32.58
mFRR,45888.0,NEG_00_04,1.59,1.89
mFRR,45888.0,NEG_04_08,1.46,1.82
mFRR,45888.0,NEG_08_12,16.89,18.93
mFRR,45888.0,NEG_12_16,53.1,62.98
mFRR,45888.0,NEG_16_20,10.96,12.19
mFRR,45888.0,NEG_20_24,0.98,1.13
mFRR,45889.0,POS_00_04,1.34,2.04
mFRR,45889.0,POS_04_08,3.12,4.26
mFRR,45889.0,POS_08_12,1.83,4.87
mFRR,45889.0,POS_12_16,0.54,1.33
mFRR,45889.0,POS_16_20,11.68,14.47
mFRR,45889.0,POS_20_24,18.79,21.1
mFRR,45889.0,NEG_00_04,0.76,1.21
mFRR,45889.0,NEG_04_08,1.24,1.63
mFRR,45889.0,NEG_08_12,11.99,13.02
mFRR,45889.0,NEG_12_16,43.66,49.8
mFRR,45889.0,NEG_16_20,8.04,8.57
mFRR,45889.0,NEG_20_24,0.84,0.97
mFRR,45890.0,POS_00_04,1.05,1.44
mFRR,45890.0,POS_04_08,3.57,9.6
mFRR,45890.0,POS_08_12,2.38,3.35
mFRR,45890.0,POS_12_16,0.63,0.84
mFRR,45890.0,POS_16_20,8.25,9.37
mFRR,45890.0,POS_20_24,11.82,13.18
mFRR,45890.0,NEG_00_04,0.57,0.81
mFRR,45890.0,NEG_04_08,1.12,1.39
mFRR,45890.0,NEG_08_12,8.41,9.21
mFRR,45890.0,NEG_12_16,32.21,34.28
