MaStRNummer,EinheitName,BetriebsStatusName,Bundesland,InbetriebnahmeDatum,StromspeichertechnologieBezeichnung,Stromspeichertechnologie,Batterietechnologie,Bruttoleistung,Nettonennleistung,NutzbareSpeicherkapazitaet,SpeicherEinheitMastrNummer
SEE966988528885,PSW Geesthacht PSS C,In Betrieb,Schleswig-Holstein,/Date(-374889600000)/,Pumpspeicher,1537,,40000.0,39700.0,534000.0,SSE993467687436
SEE961899492454,PSW Hohenwarte 2 PSS D,In Betrieb,Thüringen,/Date(-102816000000)/,Pumpspeicher,1537,,40000.0,39700.0,2308000.0,SSE994793795178
SEE923480872250,PSW Geesthacht PSS B,In Betrieb,Schleswig-Holstein,/Date(-362188800000)/,Pumpspeicher,1537,,40000.0,39700.0,534000.0,SSE993467687436
SEE968091522767,PSW Hohenwarte 2 PSS A,In Betrieb,Thüringen,/Date(-139968000000)/,Pumpspeicher,1537,,40000.0,39700.0,2308000.0,SSE994793795178
SEE933745405604,PSW Hohenwarte 2 PSS E,In Betrieb,Thüringen,/Date(-127526400000)/,Pumpspeicher,1537,,40000.0,39700.0,2308000.0,SSE994793795178
SEE987143958569,PSW Hohenwarte 2 PSS G,In Betrieb,Thüringen,/Date(-118281600000)/,Pumpspeicher,1537,,40000.0,39700.0,2308000.0,SSE994793795178
SEE900610669775,PSW Hohenwarte 2 PSS H,In Betrieb,Thüringen,/Date(-110678400000)/,Pumpspeicher,1537,,40000.0,39700.0,2308000.0,SSE994793795178
SEE918037222657,PSW Hohenwarte 2 PSS C,In Betrieb,Thüringen,/Date(-128563200000)/,Pumpspeicher,1537,,40000.0,39700.0,2308000.0,SSE994793795178
SEE902382668932,PSW Hohenwarte 2 PSS B,In Betrieb,Thüringen,/Date(-138326400000)/,Pumpspeicher,1537,,40000.0,39700.0,2308000.0,SSE994793795178
SEE999375739335,BESS Kölsa Batteriespeicher,In Planung,Brandenburg,,Batterie,524,727,39510.0,39510.0,81162.0,SSE912821296145
SEE931704712701,BESS Balzhausen 2 green flexibility,In Betrieb,Bayern,/Date(1777248000000)/,Batterie,524,727,38300.0,38300.0,83400.0,SSE987799966307
SEE930343596277,BESS Schlön,In Planung,Mecklenburg-Vorpommern,,Batterie,524,727,36000.0,36000.0,144000.0,SSE914218574232
SEE943568591200,Bringhausen M4 F1,In Betrieb,Hessen,/Date(126230400000)/,Pumpspeicher,1537,,35000.0,35000.0,550000.0,SSE994099461203
SEE977346043964,Bringhausen M3 F1,In Betrieb,Hessen,/Date(-1230768000000)/,Pumpspeicher,1537,,35000.0,35000.0,550000.0,SSE994099461203
SEE925690509520,Pfreimd R3,In Betrieb,Bayern,/Date(-283996800000)/,Pumpspeicher,1537,,33000.0,33000.0,604000.0,SSE960345629581
SEE972377801989,Pfreimd R2,In Betrieb,Bayern,/Date(-473385600000)/,Pumpspeicher,1537,,33000.0,33000.0,604000.0,SSE960345629581
SEE991322361361,Pfreimd R1,In Betrieb,Bayern,/Date(-473385600000)/,Pumpspeicher,1537,,33000.0,33000.0,604000.0,SSE960345629581
SEE908939522733,BESS Bergholz,In Planung,Mecklenburg-Vorpommern,,Batterie,524,727,32400.0,32400.0,129600.0,SSE901856443716
SEE975222107571,BESS Kahsel,In Betrieb,Brandenburg,/Date(1785110400000)/,Batterie,524,727,32200.0,32200.0,70210.0,SSE959708972198
SEE935898651709,Großbatteriespeicher,In Planung,Bayern,,Batterie,524,727,30240.0,30240.0,60180.0,SSE996774597856
SEE920833139893,Neoen Batteriespeicher Arneburg,In Planung,Sachsen-Anhalt,,Batterie,524,727,30000.0,30000.0,78000.0,SSE911017058925
SEE954066913074,Batteriespeicher-Park Worms,In Betrieb,Rheinland-Pfalz,/Date(1769644800000)/,Batterie,524,727,30000.0,30000.0,62688.0,SSE928892959858
SEE926786756569,KW Häusern MS B1,In Betrieb,Baden-Württemberg,/Date(-1216684800000)/,Pumpspeicher,1537,,30000.0,30000.0,45414500.0,SSE975981883129
SEE940779412058,KW Häusern MS A1,In Betrieb,Baden-Württemberg,/Date(-1216252800000)/,Pumpspeicher,1537,,30000.0,30000.0,45414500.0,SSE915227643667
SEE990811648037,KW Häusern MS B2,In Betrieb,Baden-Württemberg,/Date(-1196640000000)/,Pumpspeicher,1537,,30000.0,30000.0,45414500.0,SSE975981883129
